Symbol,Name,Asset Class,Weight (%),Price,Shares,MarketCap,Notional Value,Sector,SEDOL,ISIN,Exchange
"AGN","ALLERGAN","Equity","0.23","190.12","2,517,793.00","478,682,805.16","478,682,805.16","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","0.23","219.29","2,137,493.00","468,730,839.97","468,730,839.97","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"ZTS","ZOETIS INC CLASS A","Equity","0.23","126.46","3,662,133.00","463,113,339.18","463,113,339.18","Health Care","B95WG16","US98978V1035","New York Stock Exchange Inc."
"CL","COLGATE-PALMOLIVE","Equity","0.22","68.87","6,579,248.00","453,112,809.76","453,112,809.76","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"BLK","BLACKROCK INC","Equity","0.22","502.05","899,943.00","451,816,383.15","451,816,383.15","Financials","2494504","US09247X1019","New York Stock Exchange Inc."
"MU","MICRON TECHNOLOGY INC","Equity","0.22","52.94","8,469,368.00","448,368,341.92","448,368,341.92","Information Technology","2588184","US5951121038","NASDAQ"
"CSX","CSX CORP","Equity","0.22","72.79","6,124,900.00","445,831,471.00","445,831,471.00","Industrials","2160753","US1264081035","NASDAQ"
"SCHW","CHARLES SCHWAB CORP","Equity","0.22","49.72","8,925,984.00","443,799,924.48","443,799,924.48","Financials","2779397","US8085131055","New York Stock Exchange Inc."
"MMC","MARSH & MCLENNAN INC","Equity","0.21","111.65","3,886,122.00","433,885,521.30","433,885,521.30","Financials","2567741","US5717481023","New York Stock Exchange Inc."
"VRTX","VERTEX PHARMACEUTICALS INC","Equity","0.21","219.50","1,970,786.00","432,587,527.00","432,587,527.00","Health Care","2931034","US92532F1003","NASDAQ"
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","0.21","134.50","3,189,756.00","429,022,182.00","429,022,182.00","Real Estate","BTGQCX1","US22822V1017","New York Stock Exchange Inc."
"PLD","PROLOGIS REIT INC","Equity","0.21","88.36","4,842,510.00","427,884,183.60","427,884,183.60","Real Estate","B44WZD7","US74340W1036","New York Stock Exchange Inc."
"BIIB","BIOGEN INC","Equity","0.21","301.40","1,413,700.00","426,089,180.00","426,089,180.00","Health Care","2455965","US09062X1037","NASDAQ"
"AMAT","APPLIED MATERIAL INC","Equity","0.21","59.96","7,090,230.00","425,130,190.80","425,130,190.80","Information Technology","2046552","US0382221051","NASDAQ"
"SLB","SCHLUMBERGER NV","Equity","0.20","39.40","10,615,208.00","418,239,195.20","418,239,195.20","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"DE","DEERE","Equity","0.20","172.85","2,415,640.00","417,543,374.00","417,543,374.00","Industrials","2261203","US2441991054","New York Stock Exchange Inc."
"NOC","NORTHROP GRUMMAN CORP","Equity","0.20","344.69","1,205,783.00","415,621,342.27","415,621,342.27","Industrials","2648806","US6668071029","New York Stock Exchange Inc."
"GPN","GLOBAL PAYMENTS INC","Equity","0.20","179.30","2,302,847.00","412,900,467.10","412,900,467.10","Information Technology","2712013","US37940X1028","New York Stock Exchange Inc."
"NOW","SERVICENOW INC","Equity","0.20","281.79","1,438,974.00","405,488,483.46","405,488,483.46","Information Technology","B80NXX8","US81762P1021","New York Stock Exchange Inc."
"ITW","ILLINOIS TOOL INC","Equity","0.20","177.47","2,256,347.00","400,433,902.09","400,433,902.09","Industrials","2457552","US4523081093","New York Stock Exchange Inc."
"ICE","INTERCONTINENTAL EXCHANGE INC","Equity","0.19","92.27","4,297,660.00","396,545,088.20","396,545,088.20","Financials","BFSSDS9","US45866F1049","New York Stock Exchange Inc."
"APD","AIR PRODUCTS AND CHEMICALS INC","Equity","0.19","234.44","1,689,273.00","396,033,162.12","396,033,162.12","Materials","2011602","US0091581068","New York Stock Exchange Inc."
"PSX","PHILLIPS","Equity","0.19","114.14","3,437,918.00","392,403,960.52","392,403,960.52","Energy","B78C4Y8","US7185461040","New York Stock Exchange Inc."
"NSC","NORFOLK SOUTHERN CORP","Equity","0.19","190.56","2,021,707.00","385,256,485.92","385,256,485.92","Industrials","2641894","US6558441084","New York Stock Exchange Inc."
"HUM","HUMANA INC","Equity","0.19","365.88","1,035,078.00","378,714,338.64","378,714,338.64","Health Care","2445063","US4448591028","New York Stock Exchange Inc."
"AON","AON PLC CLASS A","Equity","0.18","207.01","1,810,271.00","374,744,199.71","374,744,199.71","Financials","B5BT0K0","GB00B5BT0K07","New York Stock Exchange Inc."
