Symbol,Name,Asset Class,Weight (%),Price,Shares,MarketCap,Notional Value,Sector,SEDOL,ISIN,Exchange
"FFBC","FIRST FINANCIAL BANCORP","Equity","0.32","25.55","5,896,047.00","150,644,000.85","150,644,000.85","Financials","2352806","US3202091092","NASDAQ"
"EXLS","EXLSERVICE HOLDINGS INC","Equity","0.31","70.81","2,113,342.00","149,645,747.02","149,645,747.02","Information Technology","B07LST0","US3020811044","NASDAQ"
"ROG","ROGERS CORP","Equity","0.31","130.32","1,147,447.00","149,535,293.04","149,535,293.04","Information Technology","2746700","US7751331015","New York Stock Exchange Inc."
"AIN","ALBANY INTERNATIONAL CORP CLASS A","Equity","0.31","78.18","1,897,949.00","148,381,652.82","148,381,652.82","Industrials","2012757","US0123481089","New York Stock Exchange Inc."
"XHR","XENIA HOTELS RESORTS REIT INC","Equity","0.31","21.25","6,965,535.00","148,017,618.75","148,017,618.75","Real Estate","BVV6CY1","US9840171030","New York Stock Exchange Inc."
"SAIA","SAIA INC","Equity","0.31","91.95","1,601,776.00","147,283,303.20","147,283,303.20","Industrials","2982399","US78709Y1055","NASDAQ"
"NSIT","INSIGHT ENTERPRISES INC","Equity","0.31","66.43","2,212,955.00","147,006,600.65","147,006,600.65","Information Technology","2475060","US45765U1034","NASDAQ"
"IVR","INVESCO MORTGAGE CAPITAL REIT INC","Equity","0.31","16.60","8,831,131.00","146,596,774.60","146,596,774.60","Financials","B5ZW0F0","US46131B1008","New York Stock Exchange Inc."
"LPSN","LIVEPERSON INC","Equity","0.31","38.81","3,769,531.00","146,295,498.11","146,295,498.11","Information Technology","2577052","US5381461012","NASDAQ"
"WRE","WASHINGTON REAL ESTATE INVESTMENT","Equity","0.31","29.50","4,952,249.00","146,091,345.50","146,091,345.50","Real Estate","2942304","US9396531017","New York Stock Exchange Inc."
"FN","FABRINET","Equity","0.31","63.77","2,279,547.00","145,366,712.19","145,366,712.19","Information Technology","B4JSZL8","KYG3323L1005","New York Stock Exchange Inc."
"KFY","KORN FERRY","Equity","0.30","41.85","3,461,932.00","144,881,854.20","144,881,854.20","Industrials","2386849","US5006432000","New York Stock Exchange Inc."
"IRDM","IRIDIUM COMMUNICATIONS INC","Equity","0.30","24.14","5,987,349.00","144,534,604.86","144,534,604.86","Communication","B2QH310","US46269C1027","NASDAQ"
"SANM","SANMINA CORP","Equity","0.30","33.37","4,304,504.00","143,641,298.48","143,641,298.48","Information Technology","B92RRW2","US8010561020","NASDAQ"
"ALGT","ALLEGIANT TRAVEL","Equity","0.30","175.15","816,932.00","143,085,639.80","143,085,639.80","Industrials","B15M2C3","US01748X1028","NASDAQ"
"PLXS","PLEXUS CORP","Equity","0.30","78.18","1,810,992.00","141,583,354.56","141,583,354.56","Information Technology","2692160","US7291321005","NASDAQ"
"MTH","MERITAGE CORP","Equity","0.30","63.53","2,225,493.00","141,385,570.29","141,385,570.29","Consumer Discretionary","2601326","US59001A1025","New York Stock Exchange Inc."
"ESE","ESCO TECHNOLOGIES INC","Equity","0.30","87.74","1,606,761.00","140,977,210.14","140,977,210.14","Industrials","2321583","US2963151046","New York Stock Exchange Inc."
"NMIH","NMI HOLDINGS INC CLASS A","Equity","0.30","33.58","4,191,750.00","140,758,965.00","140,758,965.00","Financials","BGDW5G5","US6292093050","NASDAQ"
"EBS","EMERGENT BIOSOLUTIONS INC","Equity","0.29","51.21","2,712,272.00","138,895,449.12","138,895,449.12","Health Care","B1HJLW5","US29089Q1058","New York Stock Exchange Inc."
"FBP","FIRST BANCORP","Equity","0.29","10.68","12,984,589.00","138,675,410.52","138,675,410.52","Financials","2296926","PR3186727065","New York Stock Exchange Inc."
"ABG","ASBURY AUTOMOTIVE GROUP INC.","Equity","0.29","115.71","1,196,459.00","138,442,270.89","138,442,270.89","Consumer Discretionary","2855855","US0434361046","New York Stock Exchange Inc."
"CLF","CLEVELAND CLIFFS INC","Equity","0.29","8.29","16,698,854.00","138,433,499.66","138,433,499.66","Materials","BYVZ186","US1858991011","New York Stock Exchange Inc."
"SPXC","SPX CORP","Equity","0.29","50.59","2,723,548.00","137,784,293.32","137,784,293.32","Industrials","2787185","US7846351044","New York Stock Exchange Inc."
"AKR","ACADIA REALTY TRUST REIT","Equity","0.28","25.84","5,224,998.00","135,013,948.32","135,013,948.32","Real Estate","2566522","US0042391096","New York Stock Exchange Inc."
"DRH","DIAMONDROCK HOSPITALITY REIT","Equity","0.28","10.85","12,386,335.00","134,391,734.75","134,391,734.75","Real Estate","B090B96","US2527843013","New York Stock Exchange Inc."
"ENSG","ENSIGN GROUP INC","Equity","0.28","43.19","3,104,529.00","134,084,607.51","134,084,607.51","Health Care","B1YWPP8","US29358P1012","NASDAQ"
"NWN","NORTHWEST NATURAL HOLDING COMPANY","Equity","0.28","70.58","1,892,279.00","133,557,051.82","133,557,051.82","Utilities","BFNR303","US66765N1054","New York Stock Exchange Inc."
"MEDP","MEDPACE HOLDINGS INC","Equity","0.28","79.54","1,678,257.00","133,488,561.78","133,488,561.78","Health Care","BDCBC61","US58506Q1094","NASDAQ"
"FELE","FRANKLIN ELECTRIC INC","Equity","0.28","55.77","2,393,091.00","133,462,685.07","133,462,685.07","Industrials","2350383","US3535141028","NASDAQ"
"GTLS","CHART INDUSTRIES INC","Equity","0.28","60.22","2,214,418.00","133,352,251.96","133,352,251.96","Industrials","B19HNF4","US16115Q3083","NASDAQ"
"AAT","AMERICAN ASSETS TRUST REIT INC","Equity","0.28","44.89","2,955,944.00","132,692,326.16","132,692,326.16","Real Estate","B3NTLD4","US0240131047","New York Stock Exchange Inc."
"DORM","DORMAN PRODUCTS INC","Equity","0.28","73.04","1,808,490.00","132,092,109.60","132,092,109.60","Consumer Discretionary","2718594","US2582781009","NASDAQ"
"ACA","ARCOSA INC","Equity","0.28","44.00","2,995,077.00","131,783,388.00","131,783,388.00","Industrials","BGPZ5W8","US0396531008","New York Stock Exchange Inc."
"DIOD","DIODES INC","Equity","0.28","51.27","2,556,037.00","131,048,016.99","131,048,016.99","Information Technology","2270500","US2545431015","NASDAQ"
